txtid	date	year	settlement	county	from	to	soc.stat	hit
Kár. 33.	1705-02-10	1705			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Annak neki  [[akar  vala ]] az egész had rohanni,  ||de tartván dandárjától || (kit még nem láttunk),  ||nem bocsátottam. || 
Kár. 56.	1705-08-12	1705			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Itten is nem kevéssel  [[leszen  vala ]] nagjob zürzavar,  || ha hirtelen nem {találok vala }érkezni,  ||de már || Istennek hála,  ||czendesednek az dolgok, || melyeknek okai legh inkáb az hamis hir fundálok voltanak.  || 
Kár. 68.	1705-09-23	1705			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Most alkalmas helyen volt,  || [[ lehet  vala ]] probálnom rajta,  || de nem érkezvén Bottján az töb hadakal,  || tanácsossabnak itéltem halaztani.  || 
Kár. 71.	1705-11-03	1705			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Azon alkalmatosságal  [[kell  vala ]] az Electionak is végbe menni,  ||de || {\!lat!ante 16tam hujus} nem leszen,  ||az Ur helyet mást küldenek. || 
Kár. 80.	1706-04-9	1706			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Már mivel az Kajdi ezere is szintén érkezett másnap,  || az Krakóba és Mindszentre szorult egy-egy regimentet  [[akarom  vala ]] megbalháznom,  || (:kik eddig is csak az had nem léte miatt maradtak ott).  || 
Kár. 89.	1706-05-04	1706			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	Az szerekkel, Édesem, || értem, ||hogy János deák elérkezett, || de mindent conscribáltatni  [[kell  vala,  ||]]  mert ilyenkor vesztegetik el az egymás készületet.  || 
Kár. 119.	1712-05-26	1712			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Az fiamat nagy vérrel bottal már felindítottam hallásra, látásra,  || másként csak tyukot  [[ültet  vala ]] az háznál  || s bibliát hozott ő ide olvasni,  || mintha nem találna itten,  || ha más dolga nem volna.  || 
Kár. 121.	1712-06-08	1712			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Mint hogj e napokban Szivem kétt rendbeli leveledet vettem Maróthi érkezésérül és egjéb Passiókrul,  || azokra  [[adok  vala ]] választ,  || de nem látom már szükségét,  || azt is bánom,  || hogy Maróthi által annyival busitottalak Szivem,  || legh kivált képpen magadot.  || 
Kár. 124.	1712-06-25	1712			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Az munkácsi buzárul jó szivvel  [[comitál  vala,  ||]]  de szintén most érkezék levele,  || hogy mind Debreczenben, Tokajban elfogyott az életjek,  || egyebütt nincsen  || hanem Budán.  || 
Kár. 148.	1717-09-15	1717			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Az svábok is csak ma szállanak haza,  || szegények elég kárral vadnak,  || de alkalmasint kikerül,  || erővel csak Keszibe  [[akarnak  vala ]] felmenni,  || Vesztert kellett utánna küldenem,  || ő hozta vissza őket.  || 
Kár. 154.	1717-09-29	1717			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Ennek a földnek mind eddig sem jöve semmi segítsége,  || győztük volna azt várni,  || ha Isten nem  [[könyörül  vala.  ||]]  
Kár. 158.	1717-10-20	1717			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Erőss László által mai napon értettelek Szivem,  || hogy Ferus egésségben és kár nélkül érkezett alá,  || kivel soha sem  [[kell  vala ]] Pater Sághi uramat fárasztani,  || mindazáltal abeli készségével köteleztetünk szolgálatjára.  || 
Kár. 159.	1717-10-24	1717			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 István Mestert nem  [[bocsátom  vala ]] ilyen rongjosson visza,  || de mégh az Posztóval oda pálinkázik.  || 
Kár. 161.	1717-10-29	1717			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 {\!lat!De dato 17} és {\!lat!19 hujus} irott válaszaidat Szivem, szeretettel vettem,  || melyekre már nagyobb részint resolváltam  || és disponáltam,  || az többirül pedig jövő postán  [[kivánok  vala ]] válaszolnom.  || 
Kár. 165.	1718-12-29	1718			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Hogy ha valamit elfelejtettél volna,  || ez alkalmatossággal  [[alá küldhetem  vala,  ||]]  hanem azon egymással csak leindítám őket,  || melyekrül Jegyzést adtál vala Szivem,  || kinek is lajstroma benne vagyon az ládában.  || 
Kár. 166.	1719-01-01	1719			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Bár csak két nappal elébb  [[érkezik  vala,  ||]]  az ujabban kivánt jegyzés szerint mind az egyetmást, mind pedig az vásárlást leküldöttem volna,  ||de || nem győzvén itt várakoztatnom az katonákat,  ||már harmad nappal elébb leindítottam őket. || 
Kár. 166.	1719-01-01	1719			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	Az leveleimet Szivem, || igen jól tötted,  ||hogy felszaggattad, || bár az többit is felszaggattad volna,  || mert, Szivem, Baron Tis levelével volt Prínyi Sofia szabadulása iránt való levél,  || melyeket csak Prínyi Imre bátyámhoz  [[kell  vala ]] küldeni,  || s nem kevés veszedelem esett már ide kerülvén.  || 
Kár. 168.	1719-01-05	1719			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Az zsidók házaiban pedig nemcsak kemenczék,  || hanem ablakok is  [[kivántatnak  vala,  ||]]  kiknek elkészülésével be is {kell vala }szállítani őket,  || de nem 15,  || hanem 20 forint R.  || 
Kár. 171.	1719-01-16	1719			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 De én bizony nem hiszem,  || resolválja mostani felmenetelemet,  || mert mások örömest sietnek vissza,  || s eddig sem késtem volna itt,  || ha Bécsbül választ  [[vehetek  vala,  ||]]  és leveleim rendbe@ vételéhez nem fogtam volna,  || kihez talán nem is lesz oly üdőm,  || mint most volt.  || 
Kár. 173.	1719-01-26	1719			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Igen okosan esett az is,  || hogy ujesztendőtül fogva az korcsmák proventusát magad szeded,  || s nem Szathmári,  || kirül szintén ezen póstán  [[akarok  vala ]] irnom.  || 
Kár. 175.	1719-01-31	1719			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Tegnapi napon, vagj tegnap ellött kezdet, irot levelemet,  || az midön Laczuskám számára valo Orvossággal  [[akarom  vala ]] inditanom expressussomat,  || akkor vevén három rendbeli leveledet Szivem.  || 
Kár. 177.	1719-02-11	1719			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Én mégh tegnap  [[akarok  vala ]] ki mennem,  ||de egjik az másikát érvén dolgaimnak, || noha csak Udvarlás kedvéért jöttem vala fel,  || s nagjob részént már végbe is vittem,  ||egyedül az M Battyányinénál és Camerae Praesesnél vagjok mégh hátra, || kik is holnap tiz és tizen egj Órát hadtanak,  ||s az uttán penigh egj emberséges jó akaróm, || kinek kezén vadnak dolgaim,  ||kivánta, || hogj holnap eöt Órára Dél uttán legjek nálla valamelj Munkára és Merendára.  || 
Kár. 181.	1719-02-27	1719			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Bárcsak az vargáktul fel ne  [[veszed  vala ]] az oralisért valót is, Szivem.  || 
Kár. 182.	1719-03-02	1719			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Úgy deliberáltam vala magamban,  || hogy mind Pálfi s mind Kohári uramtul megjövén emberem,  || mai napon  [[indulok  vala ]] felétek Szivem,  || de tegnap előtt éjszakátul fogva egész eddig esvén az hó,  || majdan térdig ér,  || és kemény fergeteggel lévén,  || halasztanom kellett.  || 
Kár. 192.	1720-01-12	1720			Károlyi Sándor	Szalai Barkóczy Krisztina	nemes	 Bécsbe már addig nem mehetek,  || míg ágensem nem írja,  || addig pedig az méltóságokat  [[udvarlom  vala ]] meg,  || de csak nem lehet havunk,  || rettenetes síkos, alkalmatlan az út.  || 
Kár. 193.	1720-01-15	1720			Károlyi Sándor	Szalai Barkóczy Krisztina	nemes	 Nem kétlem,  || praemittált leveleim Szivem eddig penetráltak kezedhez,  || melybül megérthetted,  ||hogy || Gyulai uram Nagy-Szombat felé resolválván Bécsbe való felmenetelit,  ||Ferust fel  [[akarom  vala ]] küldeni általa, ||de || azután változván elméje,  ||már itt megyen át az Dunán || és Győr felé continuálja,  || úgy is éppen érette {akarok vala }Ferusomnak küldeni  || és hozzá adjungálni.  || 
Kár. 210.	1721-05-07	1721			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Valóban szomoruan értettem,  || hogy M Gubernator fiának keresztségében dibdáb akadály miatt impediáltatott leányom jelenléte,  || ki az generalis előtt is felette kedves  [[lesz  vala,  ||]]  hogy feleségét supportálta volna az keresztanyaságban,  || bizony ezeken {kell vala }azon szerencsét megvenni.  || 
Kár. 220.	1721-06-24	1721			Károlyi Sándor	Szalai Barkóczy Krisztina	nemes	 Mégh tegnap  [[indulok  vala ]] Pestre visza,  || csak az Posta uttán várakoztam,  || melj ez Orán érkezvén megh,  || 9 dik {\...} irot leveledet veszem szerettettel,  || s nagj eörömel értem könjebségedet.  || 
Kár. 222.	1721-07-01	1721			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Mind Bécs, mind Lengyelország felől szintén most irván Viski,  || hogy se Illyvon, se Csazon nem kaphatta,  || hanem Dantzkára küldött pinzt reája  || s ujabban actu  [[irok  vala,  ||]] de || ha azok meglesznek is,  || az mit oda szántál, Szivem,  ||csak add meg most, || ád Isten az hálaadó szívért.  || 
Kár. 231.	1721-07-28	1721			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Hiszem Istent,  || más akadályt nem vet elő benne,  || ha az kezes urak és Generális el nem halt volt,  || most sem  [[lesz  vala ]] ebbül semmi is,  || mert nyavalyás Mikes és Teleki voltak ebben legnagyobb akadályok.  || 
Kár. 238.	1722-04-09	1722			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	Maj napon || Istennek hála,  ||szerencséssen érkezvén megh, || késö estvére Egberbe Is  [[be mehetek  vala,  ||]] de || az Püspöknek alkalmatlankodni nem kivánván,  || s ugj az elöttem való vizeket is considerálván,  ||már csak Hold világh fel jötekor indulok, || s !Nap kelletik be megjek,  || s ugjan mégh holnap Sülybe megjek,  || az hova lovaimot már elöre kültem.  || 
Kár. 241.	1722-05-22	1722			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Az után Lévára rándulván  || s onnat vissza,  || az oldalfájást még is kelletik éreznem,  ||de másként, || Istennek hála,  ||frissen volnék || s még ma  [[elmegyek  vala,  ||]]  de Andrásj uramat kellet Berényi Péter sógorhoz küldenem.  || 
Kár. 248.	1722-06-18	1722			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 {\!lat! Die 15ta} irot levelem el maradván akkori postáról, érkezet az alat {\!lat! 1ma hujus} {\...} nállam kedves leveled Édesem,  || melyre választ sem  [[adhatok  vala,  ||]]  ha Publicumokban folyó tenger dolgaimra nézve ma bé nem zárkoztam volna,  || azok között ez kis idött lopván.  || 
Kár. 250.	1722-06-30	1722			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Én nekem az Regni Baronatust, Arany kulcsot, egj mást az Méltóságok éppen njakamban  [[vetik  vala,  ||]]  már Udvarnál is megh csinálták vala,  || de nagj Mesterségel el forditottam ugj anyira,  || hogj már majd bizonnyos vagjok benne,  || hogj megmenekedem tülle.  || 
Kár. 254.	1722-07-18	1722			Károlyi Sándor	Szalay Barkóczy Krisztina	nemes	 Ma reggel  [[akarok  vala ]] irni,  || de nem volt szüneti egész déligh nállam az embereknek.  || 
Kár. 256.	1722-07-28	1722			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Ha az lábomra igj nem  [[járok  vala,  ||]]  egj holnappal is eléb {lesz vala }véghi,  || 
Kár. 273.	1722-10-28	1722			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	Az Tatár járáskor költ lisztet, || való, ||hogj eö mindenkor kivánta, || de én nem adtam,  || most is  [[bé éri  vala,  ||]]  sött qvietantiát kétszer is adtam rolla.  || 
Kár. 285.	1722-12-03	1722			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Tokajbul az szöllöt is fel hozzák ide másoknak frissen,  || nekem csak egj Üvegh Pohárt sem tud{\...}atok Szivem enji fel s alá járással küldeni,  || hogj legh aláb  [[mutathatom  vala ]] megh az Meczönek az Musztráját.  || 
Kár. 311.	1723-05-09	1723			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Az való,  || hogy ezelőtt volt dispositióm,  || hogy Csongrádra menjek,  ||de || indulásom egyedül egésségtelen voltodra nézve esvén,  ||most egyenesen csak hozzád  [[megyek  vala ]] Szivem. || 
Kár. 329.	1723-09-24	1723			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Ha sok ünnep és esső nem  [[lesz  vala,  ||]]  én is mentem volna,  ||de || azok hátravetvén,  || most pedig sok faluk igérkezvén,  ||csak maradok Szent Mihály napig, || az min által eshetem,  || nem lesz tovább gond reá.  || 
Kár. 331.	1723-09-27	1723			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	 Bárcsak az kőmíves  [[ér  vala ]] itten,  || hogy mutogathattam volna meg az munkát neki.  || 
Kár. 334.	1723-10-20	1723			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	Mai napon, || az midőn dolgaimhoz  [[fogok  vala,  ||]] Kraszna, Külső-Szolnok vármegyei követjei és az Barát compánia rajtam termének, || elég üdőmet vonák el.  || 
Kár. 342.	1723-10-29	1723			Károlyi Sándor	Szalai Barkóczi Krisztina	nemes	Turcsányi, || ha dolog nem volt,  ||délután nem lesz, || bárcsak levelét  [[küldöd  vala ]] Szivem vissza.  || 
								 De csak azt nem szerettem dolgába,  || hogy három macskával  [[esszik  vala ]] egy tálból.”  || 
								 Menék hozzá,  || tahát az tűzhelyen ül gereznájába,  || és három macskafiak  [[esznek  vala ]] előtte az tűzhelyen.”  || 
								 Maga nem montam,  || hanem ezt montam,  || látám, || mikor hozzá mentem vala,  || az csikónak enni  [[ad  vala.”  ||]]  
								 Mond Aztalos Lőrincné:  || „Ím, ezt Fekethe Katónak saroglyájából vonám ki,  || az eggiket  [[főzik  vala,  ||]]  az én saroglyámból lopták el.”  || 
								 Ő maga  [[forgattya  vala ]] kezében,  || és képek valának írva benne,  || hol király képe, hol ördögkép, hol szerencse kereke és kilömb-külömbféle képek.  || 
								 És mikor ide Kolosvarra jövék,  || és ő  [[lakik  vala ]] az malam házában az Owar szegeletinél,  || hallottam fileimmel,  || hogy hegedöltek,  || dőzsöltek, || táncoltak szállásán,  || az míves legények jöttek alá s fel házától, az deákok azonképpen.  || 
								 Veres Imre vallja,  || egcer  [[jövök  vala ]] Zamosfalwaról,  || találám elöl Cassay asszont a mezőn,  || ott leüle  || és velem kezde beszélgetni.  || 
								 Anna, Nyreó Márton felesége vallja:  || Egy vasárnap jöve hozzám ez Zabo Kató  || és árvacsalánt  [[kér  vala ]] tőllem.  || 
								Más legénnek is || [[ mongya  vala,  ||]] hogy vagy cipellősében vagy nadrágában messek eg darabot, || és harmadnapig enyimmé teszi.  || 
								 Egykort  [[mongya  vala ]] azt is,  || miképpen kellene tartani az lidércet,  || és {ígíri vala }magát,  || hogyha csendességben lennék,  || megtanítana reá,  || mert nem neki való volna tartani,  || miérthogy haragos ember,  || hanem én jó volnék reá.  || 
								 Azt is tudom,  || hogy egy monostori sánta embert feleségestől  [[gyógít  vala,  ||]]  meggyógítá az asszont,  || de nem fizetének meg néki.  || 
								 Amikor penig az oláh@ nő  [[szól  vala ]] az Fazakasnénak,  || és felnyitván a szemét meglátá,  || annál inkább kezde jajgatni.  || 
								 Bemenénk, || ahul  [[főzi  vala,  ||]]  tehát az üstben nagy sok csont vagyon,  || azt főzi,  || de én nem tudom,  || micsoda csontok valának.  || 
								 Márta, Ersek Bálint felesége vallja:  || Gyermekágyban mikor volnék,  || {\!ő volt}ez Zabo Katót híttam vala bábának,  || és ő bánt velem,  ||de || mivelhogy sokat  [[kéván  vala,  ||]] nem fizetheték vala meg neki. || 
								 Könyörgöttem az Istennek,  || és semmiképpen nem árthata,  || jóllehet || hogy a hajamat megnyomta vala,  || soha nem  [[vonhatom  vala ]] {\!megh}fel a fejemet.  || 
								 Tegnap délkor  [[beszéllem  vala ]] egynéhány embernek nyavalyámat,  || és ezen Sos Jánosnét hozom elő.  || 
								 Jgiarto Tamásné vallja:  || Egkor gyermekágyamba lévén,  || [[ megnyomnak  vala,  ||]]  de ez Sos Jánosné bánt velem,  || és erre gyanakottam.  || 
								 Erzsébet, Nagj Fábiánné leánya vallja:  ||Az én asszonyomnak, || kit  [[szolgálok  vala,  ||]] Teremy Péternének, adott vala ez Sos Jánosné leánya, a Zemetbironé, eg cipócskát, || melyben hogy övék asszonyom,  || mingyárást éjjel megbolondula.  || 
								 Kerekes István és felesége, Erzsébet, vallják:  || Egy háznál  [[lakunk  vala ]] ez Sos Jánosnéval.  || Egkor az leánya, a Zemetbironé, éfféljkort hozzám jöve,  || kihíva, || és hát az anyja, a fogoly asszony, csupa mezítelen fekszik,  || és semmi lelket nem érzünk benne,  || de mindenütt be vala keverve és kenve emberganéval,  || és sohol nem {nyulhatunk vala }hozzá.  || 
								 Azon éjjel nem érzettek lelket benne,  || hanem hát másnap nyolc órakort felkölt,  || és igen  [[nyeg  vala.  ||]]  
								 Ilona, Lakatos Mátyás szolgálója vallja:  || [[ Lakom  vala ]] a Híd kapunál {\!való}lakó Zigiartonál,  || és egkor a Zemetbironé annya szalonnát {kér vala }tőllem.  || 
								 Luch Gergelyné vallja:  || [[ Tartok  vala ]] egy leánkát,  || úgmint tizenkét esztendős vala,  ||és késen, || mikor mind dolgoznám,  || szinte tizenkét órakort vala éjjel immár,  ||mondék a leánnak, || hogy mellyesszen eg ludat {\!mert}holnapra.  || 
								 Ezenközbe hallám,  || hogy  [[mongya  vala ]] a leány:  || „Huj ki, czoki!”  || 
								 Egkor az kenyér szerben  [[jő  vala ]] ez Zemetbironé annya,  || és én is a leánnyal ott kenyeret {árulunk vala.  ||} 
								 Ugyan@ is megbánám,  ||mert az gyermekem, || aki  [[szop  vala, ]] osztán  || hogy a világra lőn,  || mind orrán, torkán {jő vala }ki,  ||és meghala. || 
								 Adék osztán 40 pénzt neki,  || de eg forintot  [[kér  vala  ||]]  és haraguvék erőssen.  || 
								 Én ugyan@ ezt mondám neki:  || „Bizony, jó asszony, nekem nem  [[kellesz  vala,  ||]]  de féltembe hiválak.”  || 
								Annak@ utánna, || mikor az Isten az gyermeket e világra adta volna,  ||annak@ utánna harmadnap vagy negyednap múlva, úgy esék leányunkon az nyavalya, || ki mostan Viczey Andrásnál vagyon.  || Mikor egy reggel felkölt volna,  || hát az egyik lábára nem állhat,  || és igen  [[sír  vala.  ||]]  
								Ugyanakkor éjjel, || az mint nekem  [[tetszik  vala,  ||]] mintha megnyomtak volna, || és kezdék erősen nyekegni.  || 
								 Mikoron estvefelé odajött volna,  || [[ ülök  vala ]] az beteg asszony előtt,  || eljöve nagy nyegve.  || 
								 Ugyanazon a kedden mentem a kertben,  || késő estvéig ott voltam,  || addig három úttal keresett engemet,  || az én szolgálóm azt mondta,  || vacsorára valót  [[készítek  vala.  ||]]  
